Iteration result of potential using 2D relaxation method

Parameters : 
x \in [0.00000000e+000, 1.00000000e+002], y \in [0.00000000e+000, 1.00000000e+002]
Boundary value : all 0 
n_x = 100, n_y = 100, max_dif_tar = 1.00000001e-010

iterations = 12056

       x             y           f(x)       
2.00000000e+000 2.00000000e+000 -1.93467514e-007
2.00000000e+000 3.00000000e+000 -2.90201370e-007
2.00000000e+000 4.00000000e+000 -3.86933777e-007
2.00000000e+000 5.00000000e+000 -4.83661836e-007
2.00000000e+000 6.00000000e+000 -5.80380288e-007
2.00000000e+000 7.00000000e+000 -6.77081346e-007
2.00000000e+000 8.00000000e+000 -7.73753754e-007
2.00000000e+000 9.00000000e+000 -8.70382678e-007
2.00000000e+000 1.00000000e+001 -9.66948846e-007
2.00000000e+000 1.10000000e+001 -1.06342827e-006
2.00000000e+000 1.20000000e+001 -1.15979140e-006
2.00000000e+000 1.30000000e+001 -1.25600297e-006
2.00000000e+000 1.40000000e+001 -1.35202140e-006
2.00000000e+000 1.50000000e+001 -1.44779801e-006
2.00000000e+000 1.60000000e+001 -1.54327711e-006
2.00000000e+000 1.70000000e+001 -1.63839468e-006
2.00000000e+000 1.80000000e+001 -1.73307956e-006
2.00000000e+000 1.90000000e+001 -1.82725068e-006
2.00000000e+000 2.00000000e+001 -1.92081939e-006
2.00000000e+000 2.10000000e+001 -2.01368675e-006
2.00000000e+000 2.20000000e+001 -2.10574490e-006
2.00000000e+000 2.30000000e+001 -2.19687627e-006
2.00000000e+000 2.40000000e+001 -2.28695399e-006
2.00000000e+000 2.50000000e+001 -2.37584118e-006
2.00000000e+000 2.60000000e+001 -2.46339141e-006
2.00000000e+000 2.70000000e+001 -2.54945007e-006
2.00000000e+000 2.80000000e+001 -2.63385255e-006
2.00000000e+000 2.90000000e+001 -2.71642739e-006
2.00000000e+000 3.00000000e+001 -2.79699520e-006
2.00000000e+000 3.10000000e+001 -2.87537023e-006
2.00000000e+000 3.20000000e+001 -2.95136215e-006
2.00000000e+000 3.30000000e+001 -3.02477451e-006
2.00000000e+000 3.40000000e+001 -3.09541042e-006
2.00000000e+000 3.50000000e+001 -3.16306796e-006
2.00000000e+000 3.60000000e+001 -3.22754772e-006
2.00000000e+000 3.70000000e+001 -3.28864826e-006
2.00000000e+000 3.80000000e+001 -3.34617312e-006
2.00000000e+000 3.90000000e+001 -3.39992789e-006
2.00000000e+000 4.00000000e+001 -3.44972568e-006
2.00000000e+000 4.10000000e+001 -3.49538504e-006
2.00000000e+000 4.20000000e+001 -3.53673568e-006
2.00000000e+000 4.30000000e+001 -3.57361682e-006
2.00000000e+000 4.40000000e+001 -3.60588206e-006
2.00000000e+000 4.50000000e+001 -3.63339859e-006
2.00000000e+000 4.60000000e+001 -3.65605069e-006
2.00000000e+000 4.70000000e+001 -3.67374128e-006
2.00000000e+000 4.80000000e+001 -3.68639257e-006
2.00000000e+000 4.90000000e+001 -3.69394888e-006
2.00000000e+000 5.00000000e+001 -3.69637655e-006
2.00000000e+000 5.10000000e+001 -3.69366626e-006
2.00000000e+000 5.20000000e+001 -3.68583005e-006
2.00000000e+000 5.30000000e+001 -3.67290613e-006
2.00000000e+000 5.40000000e+001 -3.65495271e-006
2.00000000e+000 5.50000000e+001 -3.63205186e-006
2.00000000e+000 5.60000000e+001 -3.60430317e-006
2.00000000e+000 5.70000000e+001 -3.57182694e-006
2.00000000e+000 5.80000000e+001 -3.53475684e-006
2.00000000e+000 5.90000000e+001 -3.49324500e-006
2.00000000e+000 6.00000000e+001 -3.44745104e-006
2.00000000e+000 6.10000000e+001 -3.39755024e-006
2.00000000e+000 6.20000000e+001 -3.34372226e-006
2.00000000e+000 6.30000000e+001 -3.28615693e-006
2.00000000e+000 6.40000000e+001 -3.22504525e-006
2.00000000e+000 6.50000000e+001 -3.16058481e-006
2.00000000e+000 6.60000000e+001 -3.09297229e-006
2.00000000e+000 6.70000000e+001 -3.02240551e-006
2.00000000e+000 6.80000000e+001 -2.94908159e-006
2.00000000e+000 6.90000000e+001 -2.87319494e-006
2.00000000e+000 7.00000000e+001 -2.79493656e-006
2.00000000e+000 7.10000000e+001 -2.71449358e-006
2.00000000e+000 7.20000000e+001 -2.63204720e-006
2.00000000e+000 7.30000000e+001 -2.54777342e-006
2.00000000e+000 7.40000000e+001 -2.46184072e-006
2.00000000e+000 7.50000000e+001 -2.37441009e-006
2.00000000e+000 7.60000000e+001 -2.28563545e-006
2.00000000e+000 7.70000000e+001 -2.19566095e-006
2.00000000e+000 7.80000000e+001 -2.10462281e-006
2.00000000e+000 7.90000000e+001 -2.01264834e-006
2.00000000e+000 8.00000000e+001 -1.91985509e-006
2.00000000e+000 8.10000000e+001 -1.82635210e-006
2.00000000e+000 8.20000000e+001 -1.73223862e-006
2.00000000e+000 8.30000000e+001 -1.63760546e-006
2.00000000e+000 8.40000000e+001 -1.54253416e-006
2.00000000e+000 8.50000000e+001 -1.44709793e-006
2.00000000e+000 8.60000000e+001 -1.35136179e-006
2.00000000e+000 8.70000000e+001 -1.25538247e-006
2.00000000e+000 8.80000000e+001 -1.15920966e-006
2.00000000e+000 8.90000000e+001 -1.06288576e-006
2.00000000e+000 9.00000000e+001 -9.66446805e-007
2.00000000e+000 9.10000000e+001 -8.69922587e-007
2.00000000e+000 9.20000000e+001 -7.73337604e-007
2.00000000e+000 9.30000000e+001 -6.76711238e-007
2.00000000e+000 9.40000000e+001 -5.80058327e-007
2.00000000e+000 9.50000000e+001 -4.83390068e-007
2.00000000e+000 9.60000000e+001 -3.86713992e-007
2.00000000e+000 9.70000000e+001 -2.90035075e-007
2.00000000e+000 9.80000000e+001 -1.93355959e-007
2.00000000e+000 9.90000000e+001 -9.66776383e-008
2.00000000e+000 1.00000000e+002 0.00000000e+000
3.00000000e+000 0.00000000e+000 0.00000000e+000
3.00000000e+000 1.00000000e+000 -1.45101083e-007
3.00000000e+000 2.00000000e+000 -2.90203218e-007
3.00000000e+000 3.00000000e+000 -4.35306646e-007
3.00000000e+000 4.00000000e+000 -5.80410074e-007
3.00000000e+000 5.00000000e+000 -7.25509494e-007
3.00000000e+000 6.00000000e+000 -8.70598001e-007
3.00000000e+000 7.00000000e+000 -1.01566445e-006
3.00000000e+000 8.00000000e+000 -1.16069259e-006
3.00000000e+000 9.00000000e+000 -1.30566093e-006
3.00000000e+000 1.00000000e+001 -1.45054116e-006
3.00000000e+000 1.10000000e+001 -1.59529804e-006
3.00000000e+000 1.20000000e+001 -1.73988769e-006
3.00000000e+000 1.30000000e+001 -1.88425815e-006
3.00000000e+000 1.40000000e+001 -2.02834713e-006
3.00000000e+000 1.50000000e+001 -2.17208299e-006
3.00000000e+000 1.60000000e+001 -2.31538161e-006
3.00000000e+000 1.70000000e+001 -2.45814908e-006
3.00000000e+000 1.80000000e+001 -2.60027718e-006
3.00000000e+000 1.90000000e+001 -2.74164677e-006
3.00000000e+000 2.00000000e+001 -2.88212323e-006
3.00000000e+000 2.10000000e+001 -3.02156013e-006
3.00000000e+000 2.20000000e+001 -3.15979491e-006
3.00000000e+000 2.30000000e+001 -3.29665181e-006
3.00000000e+000 2.40000000e+001 -3.43193983e-006
3.00000000e+000 2.50000000e+001 -3.56545388e-006
3.00000000e+000 2.60000000e+001 -3.69697386e-006
3.00000000e+000 2.70000000e+001 -3.82626695e-006
3.00000000e+000 2.80000000e+001 -3.95308598e-006
3.00000000e+000 2.90000000e+001 -4.07717289e-006
3.00000000e+000 3.00000000e+001 -4.19825665e-006
3.00000000e+000 3.10000000e+001 -4.31605895e-006
3.00000000e+000 3.20000000e+001 -4.43029057e-006
3.00000000e+000 3.30000000e+001 -4.54065821e-006
3.00000000e+000 3.40000000e+001 -4.64686218e-006
3.00000000e+000 3.50000000e+001 -4.74860053e-006
3.00000000e+000 3.60000000e+001 -4.84556949e-006
3.00000000e+000 3.70000000e+001 -4.93746847e-006
3.00000000e+000 3.80000000e+001 -5.02399689e-006
3.00000000e+000 3.90000000e+001 -5.10486507e-006
3.00000000e+000 4.00000000e+001 -5.17978651e-006
3.00000000e+000 4.10000000e+001 -5.24849020e-006
3.00000000e+000 4.20000000e+001 -5.31071555e-006
3.00000000e+000 4.30000000e+001 -5.36622156e-006
3.00000000e+000 4.40000000e+001 -5.41478448e-006
3.00000000e+000 4.50000000e+001 -5.45620378e-006
3.00000000e+000 4.60000000e+001 -5.49030392e-006
3.00000000e+000 4.70000000e+001 -5.51693574e-006
3.00000000e+000 4.80000000e+001 -5.53598329e-006
3.00000000e+000 4.90000000e+001 -5.54735925e-006
3.00000000e+000 5.00000000e+001 -5.55101406e-006
3.00000000e+000 5.10000000e+001 -5.54693088e-006
3.00000000e+000 5.20000000e+001 -5.53513109e-006
3.00000000e+000 5.30000000e+001 -5.51567064e-006
3.00000000e+000 5.40000000e+001 -5.48864045e-006
3.00000000e+000 5.50000000e+001 -5.45416196e-006
3.00000000e+000 5.60000000e+001 -5.41239115e-006
3.00000000e+000 5.70000000e+001 -5.36350672e-006
3.00000000e+000 5.80000000e+001 -5.30771604e-006
3.00000000e+000 5.90000000e+001 -5.24524330e-006
3.00000000e+000 6.00000000e+001 -5.17633816e-006
3.00000000e+000 6.10000000e+001 -5.10125847e-006
3.00000000e+000 6.20000000e+001 -5.02028252e-006
3.00000000e+000 6.30000000e+001 -4.93369225e-006
3.00000000e+000 6.40000000e+001 -4.84178054e-006
3.00000000e+000 6.50000000e+001 -4.74484204e-006
3.00000000e+000 6.60000000e+001 -4.64317600e-006
3.00000000e+000 6.70000000e+001 -4.53707980e-006
3.00000000e+000 6.80000000e+001 -4.42685041e-006
3.00000000e+000 6.90000000e+001 -4.31278113e-006
3.00000000e+000 7.00000000e+001 -4.19515936e-006
3.00000000e+000 7.10000000e+001 -4.07426751e-006
3.00000000e+000 7.20000000e+001 -3.95037796e-006
3.00000000e+000 7.30000000e+001 -3.82375583e-006
3.00000000e+000 7.40000000e+001 -3.69465465e-006
