Discrete Fourier Transform of sunspots

  k         Re(c_k)          Im(c_k)     
  292     -1003.662781      1382.524292
  293      -393.198853       550.253418
  294      -191.697906      1762.736572
  295      -557.490906      -466.959534
  296       294.847992       137.690475
  297      1429.538086      -594.570496
  298       460.443115     -1436.157471
  299      -436.117950     -2833.670898
  300       750.242737       356.199677
  301       547.217285       612.209961
  302       565.389221     -1610.688477
  303        95.723152       934.448364
  304        95.953499       661.399353
  305       335.600189       961.871277
  306       252.925034      -170.459061
  307      -735.489807      -442.208130
  308      -723.764954      -771.955872
  309      -732.955811       331.661713
  310      -228.768097      -374.802277
  311        71.137680      -110.500107
  312       138.171158     -1018.470764
  313       401.563110       294.481873
  314      -273.963837      -262.961548
  315      1062.566650       622.391479
  316        -1.233728      -432.466705
  317      -238.877121       686.171082
  318       494.845734       833.956726
  319       127.318146       677.352600
  320      -412.636902       599.843506
  321       164.801849      1060.244873
  322       177.302292       -17.756474
  323       758.361877      -117.741753
  324      1137.729370       615.178284
  325       -62.635529      -628.023865
  326      1132.964355       337.433960
  327       129.472946      -329.044342
  328       192.669464      -687.537598
  329       274.620697      -381.004700
  330        32.249424       -79.032059
  331      -829.330627      -484.228485
  332        26.783014      1155.740479
  333     -1404.136841      1229.228027
  334      -147.494583       408.759399
  335       969.317505       272.633972
  336      1024.932739      -723.760559
  337       234.308578      -687.489319
  338       239.695358        -9.769615
  339      -103.503113       763.892395
  340       687.380615       737.327637
  341     -1170.616943      -774.633728
  342      -919.957336       560.677063
  343       507.753967      1724.669800
  344        59.799553        45.306980
  345      -154.215820      -259.009735
  346       523.391968      1774.824585
  347      -569.264221      -482.940521
  348       703.038452       -69.713799
  349      -129.575195      -519.795837
  350      -493.248474       -15.248361
  351       267.365417       845.473083
  352       407.748657       616.660828
  353       -60.448433       686.457397
  354      -595.046509      -333.201813
  355       112.412865       233.855988
  356      -429.329742      -514.361328
  357     -1207.435913      -598.840210
  358      -468.733795       281.210358
  359     -1590.951660       985.904114
  360       571.180420       646.363953
  361       917.743713      -599.785217
  362      -620.645203     -1300.049316
  363       660.255432       675.677856
  364       808.761658       104.145096
  365      -187.958725       -58.150288
  366       439.844055       143.541229
  367     -1960.459106      -125.784012
  368     -2163.447998       352.414795
  369       503.259399      -379.752197
  370      -954.243530      -526.649963
  371       864.506714       -84.992905
  372       -62.257984       104.624924
  373       -22.752495      -333.022766
  374       484.114380      -327.428680
  375      -797.500244       155.640121
  376       773.995239       999.593994
  377      -113.870758      -405.249664
  378       870.353027      1099.297852
  379      -641.695740      -931.892761
  380     -1656.613647      -382.867615
  381       216.723282      1246.572754
  382       384.777954      -171.124451
  383      -271.528320      -815.178467
  384       623.624084       221.601898
  385       -54.535141       539.234314
  386       639.763184         5.155979
  387       893.320313     -1241.446045
  388     -1260.005127      1135.559937
  389       737.361023      -551.722046
  390       493.821167       962.692993
  391      -707.180908       361.762299
  392       -28.648514      -402.612579
  393       973.716614       112.647575
  394       352.824585       -67.827934
  395       177.722260     -1536.633301
  396       570.279419       167.224228
  397      -194.433197      -164.430801
  398      -742.905945       565.981995
  399        69.606750       336.634064
  400     -1378.674805      1305.085571
  401       175.207169      1141.499512
  402       531.241394      -420.486969
  403      -680.618530       960.682007
  404       896.817932     -1125.808716
  405      -671.523438     -1640.984985
  406     -1392.778076       274.376892
  407       777.302002      -466.323547
  408       404.303864      -659.268127
  409      -571.433716       813.199341
  410      -108.316605      -619.594360
  411       607.289612      1520.639282
  412      -933.348450      -929.452881
  413        34.518375      -292.610077
  414      -802.149841       290.441315
  415      -359.907288      -783.051819
  416       621.002197        20.245590
  417      -584.528931       323.862122
  418      -538.984314       285.978912
  419      1067.279053       -44.356899
  420      -403.936096       484.668549
  421       881.618958      -698.603699
  422       248.946365       -72.305687
  423      -768.882813      1039.397949
  424        78.760132      -600.529968
  425      -576.686584      -220.022263
  426      -759.877808       104.154358
  427     -1021.338135      -104.199059
  428       -86.628242       529.038330
  429      -454.215668       437.424591
  430       -49.517830       -51.132660
  431       659.137573       396.140900
  432      1414.510742      -623.293396
  433      -312.814270       -83.574654
  434       413.731598        91.927078
  435       240.590912       149.812637
  436        72.310616       182.647537
  437      -257.338196       389.050720
  438      -946.524841       185.380798
  439      -724.482605      -110.984138
  440      -275.037598      -595.700073
  441        98.392929      -809.067139
  442      -549.748047     -1321.060181
  443      -351.784576       186.635635
  444       -76.084808       286.889343
  445        10.017394       539.497681
  446       230.926956       776.163025
  447      -655.313171      -484.187653
  448      -719.692749       609.641785
  449      -204.821548       -85.057701
  450       220.715759       511.034790
  451      -473.472809      -486.541077
  452      -605.271301       -30.541515
  453        89.157181       269.812561
  454       982.579163       328.399628
  455      -889.039490     -1099.549438
  456       304.899811       724.153748
  457      -415.775726       660.578613
  458       348.892395      -138.200638
  459      -418.089478       406.057068
  460      -167.918350      -198.407959
  461      -217.814453      -103.792862
  462      -666.681519       402.854156
  463      -858.616760      -561.727051
  464       -83.405357        -1.633144
  465       468.851410       -71.142479
  466      -312.965149      -678.161011
  467       509.011322     -1937.123413
  468       204.420975      -404.900787
  469       -87.532074        47.127567
  470      -677.619751      -532.949646
  471       254.401474       266.168182
  472      -701.088440       632.128479
  473      -326.069977      -338.004547
  474       -41.368500      1121.533081
  475      -392.123779      -544.063599
  476       151.874130      -368.902893
  477       587.839478       254.718323
  478      -902.593384       546.696838
  479      1397.218384      -463.225861
  480       172.633575       499.821472
  481     -1215.928223     -1117.396118
  482       183.788651      -950.466980
  483      -656.064209       223.121521
  484       256.136108       388.151672
  485       868.457214      -338.532593
  486     -1342.403076      -182.513779
  487      -219.312561      -811.234131
  488       361.385376       337.790253
  489       910.262024      -196.928162
  490      1094.124878      -587.122559
  491       314.459930      -654.898743
  492      -195.230072       669.208130
  493      -487.624146      -547.736511
  494       150.646347       129.416550
  495      -606.036987       178.996246
  496      -698.541687      -792.328674
  497       206.794067      -154.913223
  498     -1068.085815      -394.555084
  499       248.043365       678.653076
  500       935.112671      -336.367004
  501      -722.711975       320.559998
  502       627.905396      -199.704590
  503       869.854370       -47.357128
  504     -1044.480469       100.406853
  505       686.077026      -919.112610
  506      -175.032028      -224.178543
  507       563.910400      -245.046555
  508      -576.238892      -791.573242
  509      -712.982788       379.244507
  510     -1086.019043       697.560547
  511       -18.426859      -235.735733
  512        54.516304      -127.090866
  513        -6.254739       944.778320
  514      1004.296204       296.383911
  515      1163.041260       -25.098042
  516      -174.322052      -502.895844
  517      -628.799866       511.177460
  518       594.938599       604.544495
  519      -114.483093       685.865784
  520      -522.405579       362.984283
