Correlation function xi(r) calculated from lcdm_z0.matter_pk within r = [0.000000, 120.000000]

r : scale; xi_1 : integral between 0 and k_min; xi_2 : integral within data range; xi_3 : integral from k_max to +INF

    r        xi_1         xi_2         xi_3          xi       r^2*xi_2      r^2*xi
  0.00 -1.#IND00e+000 -1.#IND00e+000 -1.#IND00e+000 -1.#IND00e+000 -1.#IND00e+000 -1.#IND00e+000
  9.80 8.354780e-012 5.575231e-001 -1.489499e-003 5.560336e-001 5.354452e+001 5.340146e+001
  9.90 8.354780e-012 5.467328e-001 3.576887e-005 5.467686e-001 5.358528e+001 5.358879e+001
 10.00 8.354780e-012 5.362493e-001 1.468145e-003 5.377175e-001 5.362493e+001 5.377175e+001
 10.10 8.354780e-012 5.273303e-001 1.521789e-003 5.288520e-001 5.379297e+001 5.394820e+001
 10.20 8.354780e-012 5.199572e-001 2.024899e-004 5.201597e-001 5.409634e+001 5.411741e+001
 10.30 8.354780e-012 5.128995e-001 -1.248080e-003 5.116514e-001 5.441351e+001 5.428110e+001
 10.40 8.354780e-012 5.048644e-001 -1.518245e-003 5.033461e-001 5.460613e+001 5.444192e+001
 10.50 8.354780e-012 4.956586e-001 -4.097869e-004 4.952488e-001 5.464636e+001 5.460118e+001
 10.60 8.354780e-012 4.863162e-001 1.026156e-003 4.873424e-001 5.464249e+001 5.475779e+001
 10.70 8.354780e-012 4.781159e-001 1.483120e-003 4.795990e-001 5.473949e+001 5.490929e+001
 10.80 8.354780e-012 4.714136e-001 5.857699e-004 4.719993e-001 5.498568e+001 5.505400e+001
 10.90 8.354780e-012 4.653507e-001 -8.067462e-004 4.645440e-001 5.528832e+001 5.519247e+001
 11.00 8.354780e-012 4.586705e-001 -1.420624e-003 4.572499e-001 5.549913e+001 5.532724e+001
 11.10 8.354780e-012 4.508597e-001 -7.306158e-004 4.501291e-001 5.555043e+001 5.546041e+001
 11.20 8.354780e-012 4.425836e-001 5.937426e-004 4.431773e-001 5.551768e+001 5.559216e+001
 11.30 8.354780e-012 4.350380e-001 1.334953e-003 4.363729e-001 5.555000e+001 5.572046e+001
 11.40 8.354780e-012 4.288481e-001 8.450109e-004 4.296931e-001 5.573310e+001 5.584292e+001
 11.50 8.354780e-012 4.235212e-001 -3.904780e-004 4.231307e-001 5.601068e+001 5.595904e+001
 11.60 8.354780e-012 4.179240e-001 -1.230238e-003 4.166938e-001 5.623586e+001 5.607032e+001
 11.70 8.354780e-012 4.113288e-001 -9.299990e-004 4.103988e-001 5.630680e+001 5.617949e+001
 11.80 8.354780e-012 4.040508e-001 1.997837e-004 4.042506e-001 5.626003e+001 5.628785e+001
 11.90 8.354780e-012 3.971263e-001 1.110484e-003 3.982368e-001 5.623705e+001 5.639431e+001
 12.00 8.354780e-012 3.913487e-001 9.871002e-004 3.923359e-001 5.635422e+001 5.649636e+001
 12.10 8.354780e-012 3.865573e-001 -2.398113e-005 3.865333e-001 5.659586e+001 5.659234e+001
 12.20 8.354780e-012 3.818101e-001 -9.795594e-004 3.808306e-001 5.682862e+001 5.668282e+001
 12.30 8.354780e-012 3.762590e-001 -1.018102e-003 3.752409e-001 5.692422e+001 5.677019e+001
 12.40 8.354780e-012 3.699110e-001 -1.351174e-004 3.697759e-001 5.687751e+001 5.685674e+001
 12.50 8.354780e-012 3.635910e-001 8.410987e-004 3.644321e-001 5.681109e+001 5.694251e+001
