Gradient descent of (x-2)^2+(y-2)^2

gamma = 1.000000e-002, epsilon = 1.000000e-007

      x            y          f(x,y)     
1.998975e+000 1.999487e+000 1.314160e-006
1.998995e+000 1.999497e+000 1.262127e-006
1.999015e+000 1.999507e+000 1.212083e-006
1.999035e+000 1.999517e+000 1.164087e-006
1.999054e+000 1.999527e+000 1.117962e-006
1.999073e+000 1.999536e+000 1.073653e-006
1.999092e+000 1.999546e+000 1.031214e-006
1.999110e+000 1.999555e+000 9.904802e-007
1.999128e+000 1.999564e+000 9.512946e-007
1.999145e+000 1.999572e+000 9.137151e-007
1.999162e+000 1.999581e+000 8.775919e-007
1.999179e+000 1.999589e+000 8.427845e-007
1.999195e+000 1.999597e+000 8.093527e-007
1.999212e+000 1.999606e+000 7.772553e-007
1.999227e+000 1.999613e+000 7.465441e-007
1.999243e+000 1.999621e+000 7.169033e-007
1.999258e+000 1.999629e+000 6.884821e-007
1.999273e+000 1.999636e+000 6.613292e-007
1.999287e+000 1.999643e+000 6.351473e-007
1.999302e+000 1.999651e+000 6.099106e-007
1.999316e+000 1.999658e+000 5.857565e-007
1.999329e+000 1.999664e+000 5.625701e-007
1.999343e+000 1.999671e+000 5.402438e-007
1.999356e+000 1.999678e+000 5.189070e-007
1.999369e+000 1.999684e+000 4.983763e-007
1.999381e+000 1.999690e+000 4.786288e-007
1.999394e+000 1.999697e+000 4.596419e-007
1.999406e+000 1.999703e+000 4.413933e-007
1.999418e+000 1.999709e+000 4.238614e-007
1.999429e+000 1.999714e+000 4.070247e-007
1.999441e+000 1.999720e+000 3.908626e-007
1.999452e+000 1.999726e+000 3.753544e-007
1.999463e+000 1.999731e+000 3.604801e-007
1.999474e+000 1.999737e+000 3.462202e-007
1.999484e+000 1.999742e+000 3.325553e-007
1.999495e+000 1.999747e+000 3.193464e-007
1.999505e+000 1.999752e+000 3.067003e-007
1.999515e+000 1.999757e+000 2.945411e-007
1.999524e+000 1.999762e+000 2.829112e-007
1.999534e+000 1.999767e+000 2.716824e-007
1.999543e+000 1.999771e+000 2.609532e-007
1.999552e+000 1.999776e+000 2.506003e-007
1.999561e+000 1.999780e+000 2.406660e-007
1.999570e+000 1.999785e+000 2.310864e-007
1.999579e+000 1.999789e+000 2.219525e-007
1.999587e+000 1.999793e+000 2.131504e-007
1.999595e+000 1.999797e+000 2.047193e-007
1.999604e+000 1.999802e+000 1.966001e-007
1.999611e+000 1.999805e+000 1.887842e-007
1.999619e+000 1.999809e+000 1.813083e-007
1.999627e+000 1.999813e+000 1.741169e-007
1.999634e+000 1.999817e+000 1.672019e-007
1.999642e+000 1.999821e+000 1.605977e-007
1.999649e+000 1.999824e+000 1.542523e-007
1.999656e+000 1.999828e+000 1.481579e-007
1.999663e+000 1.999831e+000 1.422667e-007
1.999670e+000 1.999834e+000 1.366133e-007
1.999676e+000 1.999838e+000 1.312289e-007
1.999683e+000 1.999841e+000 1.260663e-007
1.999689e+000 1.999844e+000 1.210814e-007
1.999695e+000 1.999847e+000 1.163063e-007
1.999701e+000 1.999850e+000 1.116984e-007
1.999707e+000 1.999853e+000 1.072884e-007
1.999713e+000 1.999856e+000 1.030356e-007
1.999719e+000 1.999859e+000 9.896952e-008
1.999724e+000 1.999862e+000 9.505098e-008
1.999730e+000 1.999865e+000 9.130822e-008
1.999735e+000 1.999868e+000 8.770378e-008
1.999740e+000 1.999870e+000 8.426476e-008
1.999746e+000 1.999873e+000 8.089451e-008
1.999751e+000 1.999875e+000 7.768217e-008
1.999756e+000 1.999878e+000 7.459315e-008
1.999761e+000 1.999880e+000 7.165239e-008
1.999765e+000 1.999883e+000 6.882671e-008
1.999770e+000 1.999885e+000 6.611268e-008
1.999775e+000 1.999887e+000 6.348012e-008
1.999779e+000 1.999889e+000 6.095367e-008
1.999784e+000 1.999892e+000 5.853009e-008
1.999788e+000 1.999894e+000 5.623151e-008
1.999792e+000 1.999896e+000 5.397898e-008
1.999796e+000 1.999898e+000 5.184530e-008
1.999800e+000 1.999900e+000 4.980222e-008
1.999804e+000 1.999902e+000 4.784684e-008
1.999808e+000 1.999904e+000 4.595348e-008
1.999812e+000 1.999906e+000 4.414314e-008
1.999816e+000 1.999908e+000 4.236917e-008
1.999820e+000 1.999910e+000 4.069609e-008
1.999823e+000 1.999911e+000 3.909886e-008
1.999827e+000 1.999913e+000 3.753361e-008
1.999830e+000 1.999915e+000 3.604079e-008
