Gradient descent of Schechter

gamma = 1.000000e-004, epsilon = 2.000000e-007

   log(phi*)      log(M*)       alpha        chi^2     
-2.568675e+000 1.097652e+001 -1.009840e+000 2.908118e+000
-2.568665e+000 1.097652e+001 -1.009831e+000 2.908116e+000
-2.568655e+000 1.097651e+001 -1.009821e+000 2.908114e+000
-2.568646e+000 1.097650e+001 -1.009812e+000 2.908112e+000
-2.568637e+000 1.097650e+001 -1.009803e+000 2.908109e+000
-2.568628e+000 1.097649e+001 -1.009794e+000 2.908108e+000
-2.568619e+000 1.097649e+001 -1.009786e+000 2.908106e+000
-2.568610e+000 1.097648e+001 -1.009777e+000 2.908104e+000
-2.568602e+000 1.097647e+001 -1.009769e+000 2.908103e+000
-2.568594e+000 1.097647e+001 -1.009761e+000 2.908101e+000
-2.568585e+000 1.097646e+001 -1.009753e+000 2.908099e+000
-2.568577e+000 1.097646e+001 -1.009745e+000 2.908098e+000
-2.568570e+000 1.097645e+001 -1.009737e+000 2.908096e+000
-2.568562e+000 1.097645e+001 -1.009730e+000 2.908095e+000
-2.568555e+000 1.097645e+001 -1.009722e+000 2.908094e+000
-2.568547e+000 1.097644e+001 -1.009715e+000 2.908093e+000
-2.568540e+000 1.097644e+001 -1.009708e+000 2.908092e+000
-2.568533e+000 1.097643e+001 -1.009701e+000 2.908091e+000
-2.568527e+000 1.097643e+001 -1.009695e+000 2.908089e+000
-2.568520e+000 1.097642e+001 -1.009688e+000 2.908088e+000
-2.568513e+000 1.097642e+001 -1.009682e+000 2.908087e+000
-2.568507e+000 1.097641e+001 -1.009676e+000 2.908085e+000
-2.568501e+000 1.097641e+001 -1.009669e+000 2.908085e+000
-2.568495e+000 1.097641e+001 -1.009663e+000 2.908085e+000
-2.568489e+000 1.097640e+001 -1.009658e+000 2.908084e+000
-2.568483e+000 1.097640e+001 -1.009652e+000 2.908082e+000
-2.568477e+000 1.097639e+001 -1.009646e+000 2.908083e+000
-2.568471e+000 1.097639e+001 -1.009641e+000 2.908081e+000
-2.568466e+000 1.097639e+001 -1.009635e+000 2.908081e+000
-2.568460e+000 1.097638e+001 -1.009630e+000 2.908080e+000
-2.568455e+000 1.097638e+001 -1.009625e+000 2.908080e+000
-2.568450e+000 1.097638e+001 -1.009620e+000 2.908079e+000
-2.568445e+000 1.097637e+001 -1.009615e+000 2.908079e+000
-2.568440e+000 1.097637e+001 -1.009610e+000 2.908078e+000
-2.568435e+000 1.097637e+001 -1.009605e+000 2.908076e+000
-2.568430e+000 1.097636e+001 -1.009601e+000 2.908077e+000
-2.568426e+000 1.097636e+001 -1.009596e+000 2.908077e+000
-2.568421e+000 1.097636e+001 -1.009592e+000 2.908076e+000
-2.568417e+000 1.097636e+001 -1.009587e+000 2.908076e+000
-2.568412e+000 1.097635e+001 -1.009583e+000 2.908076e+000
-2.568408e+000 1.097635e+001 -1.009578e+000 2.908074e+000
-2.568404e+000 1.097635e+001 -1.009574e+000 2.908074e+000
-2.568400e+000 1.097634e+001 -1.009570e+000 2.908074e+000
-2.568396e+000 1.097634e+001 -1.009566e+000 2.908074e+000
-2.568392e+000 1.097634e+001 -1.009562e+000 2.908072e+000
-2.568388e+000 1.097634e+001 -1.009559e+000 2.908072e+000
-2.568384e+000 1.097633e+001 -1.009555e+000 2.908072e+000
-2.568380e+000 1.097633e+001 -1.009551e+000 2.908071e+000
-2.568377e+000 1.097633e+001 -1.009548e+000 2.908072e+000
-2.568373e+000 1.097633e+001 -1.009544e+000 2.908072e+000
-2.568370e+000 1.097633e+001 -1.009541e+000 2.908071e+000
-2.568367e+000 1.097632e+001 -1.009538e+000 2.908072e+000
-2.568363e+000 1.097632e+001 -1.009535e+000 2.908071e+000
-2.568360e+000 1.097632e+001 -1.009531e+000 2.908071e+000
-2.568357e+000 1.097632e+001 -1.009529e+000 2.908070e+000
-2.568354e+000 1.097632e+001 -1.009526e+000 2.908071e+000
-2.568351e+000 1.097631e+001 -1.009523e+000 2.908068e+000
-2.568348e+000 1.097631e+001 -1.009520e+000 2.908069e+000
-2.568346e+000 1.097631e+001 -1.009517e+000 2.908068e+000
-2.568343e+000 1.097631e+001 -1.009514e+000 2.908070e+000
-2.568340e+000 1.097631e+001 -1.009512e+000 2.908068e+000
-2.568337e+000 1.097630e+001 -1.009509e+000 2.908068e+000
-2.568335e+000 1.097630e+001 -1.009507e+000 2.908067e+000
-2.568332e+000 1.097630e+001 -1.009504e+000 2.908067e+000
-2.568329e+000 1.097630e+001 -1.009501e+000 2.908068e+000
-2.568327e+000 1.097630e+001 -1.009499e+000 2.908068e+000
